1670599044: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670600845: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670602646: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670604447: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670606248: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670608049: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670609850: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670611651: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670613452: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670615253: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670617054: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670618855: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670620658: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670622459: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670624260: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670626061: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670627862: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670629663: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670631464: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670633265: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670635066: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670636867: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670638668: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670640469: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670642270: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670644071: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670645872: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670647673: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670649474: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670651275: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670653076: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670654877: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670656678: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670658479: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670660280: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670662081: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670663882: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670665683: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670667484: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670669285: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670671086: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670672887: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670674688: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670676489: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670678290: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670680091: Saving in-memory database to /mosquitto/data//mosquitto.db.
